index,unit2_pos,unit1_beam_32,unit1_beam_64
1774,"[0.4411239506650633, 0.06818181796859943]",11,21
2150,"[0.6749245705115114, 0.1071428573790456]",6,11
1265,"[0.27930461196693873, 0.10389610386414605]",22,42
57,"[0.4163707641479176, 0.865800865790879]",17,34
1085,"[0.13700457708506125, 0.11363636363985903]",28,54
112,"[0.6711479649494086, 0.0790043289159456]",2,3
2117,"[0.6698959381011705, 0.8852813851885077]",11,20
826,"[0.16643747049818242, 0.8225108224628858]",26,51
1246,"[0.3486176392067574, 0.10281385284631]",19,34
1315,"[0.22708893496019733, 0.8225108224628858]",25,48
1118,"[0.17653578539739326, 0.8398268395172482]",26,52
1130,"[0.29506783522388774, 0.8073593072903983]",22,44
1230,"[0.39783666180801713, 0.10064935050304365]",15,29
1045,"[0.4977319841493323, 0.06926406929402974]",9,17
286,"[0.5181338642528955, 0.7976190475146853]",13,26
584,"[0.3685269185721473, 0.08874458869165856]",17,33
1673,"[0.19658873997200713, 0.03896103879525764]",26,51
1747,"[0.7160156811225019, 0.7251082250133503]",5,9
196,"[0.2712177500406146, 0.10497835503577924]",22,43
368,"[0.24517148662586957, 0.10064935050304365]",23,46
1745,"[0.6898667925478942, 0.7294372295460858]",6,11
48,"[0.3622873093775134, 0.8798701296379362]",19,37
1760,"[0.6359680630506591, 0.05952380951831677]",2,3
1744,"[0.6769770735337594, 0.7326839824457969]",7,14
2083,"[0.15695490651439628, 0.9437229435351914]",30,59
2269,"[0.5305309825288571, 0.8603896102403074]",15,29
2089,"[0.264218714721332, 0.9242424241375625]",26,52
2200,"[0.305474025573519, 0.12770562779451047]",23,45
955,"[0.0601588637384255, 0.11796536786500036]",29,58
7,"[0.08140227006535979, 0.9329004327416424]",30,59
2300,"[1.0, 0.8409090908426785]",2,2
41,"[0.31936947106680524, 0.8885281383958131]",21,42
1319,"[0.27281870240321815, 0.8138528138588059]",23,45
1220,"[0.4351306418249322, 0.09956709948520759]",13,26
738,"[0.5586913240763516, 0.051948051932073025]",6,11
1277,"[0.21058681061057222, 0.10281385284631]",24,47
1481,"[0.42189199729643184, 0.07359307351917108]",12,23
986,"[0.34670881139373344, 0.8344155842742709]",20,39
1066,"[0.3055561257014092, 0.09415584424223021]",20,39
2141,"[0.7391884403090166, 0.10497835503577924]",4,6
2072,"[0.17156872806838608, 0.08441558446651723]",26,52
1326,"[0.34309640607282704, 0.7997835497041546]",20,39
737,"[0.5666550358108404, 0.050865800914236974]",6,11
1766,"[0.5537447917793169, 0.061688311707786]",6,11
1917,"[0.1108556885104535, 0.13528138522695707]",28,55
1856,"[0.7784117731563444, 0.7911255409462776]",3,5
1148,"[0.45522464646349114, 0.7792207791348925]",15,29
960,"[0.038258656432121396, 0.9080086581010361]",30,58
1263,"[0.28798669977671504, 0.10389610386414605]",21,42
599,"[0.29859814043148786, 0.0930735929167999]",20,39
1418,"[0.3123704357475227, 0.0]",19,37
984,"[0.3088401305399226, 0.8398268395172482]",22,43
109,"[0.6889636912140217, 0.08008658008757877]",2,2
2003,"[0.7151331048206019, 0.7705627705308127]",4,8
1419,"[0.30379097309760916, 0.0]",20,39
564,"[0.4411239506650633, 0.08658008665598646]",12,24
786,"[0.21397344060894838, 0.05627705615721436]",25,48
2283,"[0.7127727263333498, 0.835497835445904]",9,18
121,"[0.6202253648256826, 0.0790043289159456]",4,6
1959,"[0.25262207261938036, 0.8528138526540636]",23,45
1630,"[0.43636214364119774, 0.03896103879525764]",12,23
1986,"[0.5116479546745911, 0.8030303030652569]",12,23
615,"[0.18817347756329003, 0.10497835503577924]",26,52
108,"[0.695039100182043, 0.08008658008757877]",2,2
2138,"[0.7632437757828475, 0.10389610386414605]",4,6
1903,"[0.24098438045348358, 0.12878787881234652]",22,43
2114,"[0.6153609326565381, 0.8896103894136491]",12,22
315,"[0.7993883540968033, 0.7976190475146853]",2,3
2176,"[0.4768785534007086, 0.12121212122610277]",13,26
1624,"[0.4723835717633183, 0.03896103879525764]",11,20
1592,"[0.7789659489758515, 0.7976190475146853]",3,6
2174,"[0.49065084871674347, 0.12012987020826672]",12,22
2246,"[0.3066439523084508, 0.9361471859489476]",26,51
637,"[0.031177520984948665, 0.8993506491893621]",30,59
2120,"[0.7119312000953948, 0.8841991341706718]",8,6
971,"[0.14956589561680314, 0.8690476189981843]",27,54
1922,"[0.07033927875094263, 0.13744588757022344]",30,59
558,"[0.46376305904945964, 0.08441558446651723]",11,22
1560,"[0.40926910366877234, 0.8409090908426785]",18,34
2236,"[0.23269226822201788, 0.9653679652760866]",27,54
2249,"[0.3391761252869164, 0.9220779219480933]",24,46
1789,"[0.2322612425943461, 0.08008658008757877]",22,42
416,"[0.3463804109113405, 0.07251082250133503]",17,34
655,"[0.21142833686311105, 0.8387445884994121]",25,49
1232,"[0.39194597812774873, 0.10173160182847395]",15,29
1751,"[0.7833993555173241, 0.7164502164092704]",3,6
243,"[0.15030479669489533, 0.83658008646374]",28,54
2124,"[0.7833377804214064, 0.8820346318274054]",6,11
481,"[0.47960838241971493, 0.7846320346854642]",15,29
1334,"[0.42047577020699733, 0.7867965367211363]",17,33
840,"[0.3144024137377981, 0.774891774755954]",22,42
1519,"[0.0740337841997392, 0.09848484846737154]",30,60
1711,"[0.2606268344323982, 0.8181818179301501]",24,46
422,"[0.27727263397666335, 0.0790043289159456]",22,43
528,"[0.5914903224558763, 0.07251082250133503]",4,7
127,"[0.5874263664607418, 0.0790043289159456]",6,11
995,"[0.48182508569774324, 0.8170995669123141]",15,28
259,"[0.2843332443918635, 0.8192640691017833]",23,45
1565,"[0.46318835819798004, 0.8333333332564348]",15,28
645,"[0.11200509021341275, 0.8679653678265511]",28,55
1416,"[0.3292830606928471, 0.0]",19,37
675,"[0.41359988506496614, 0.805194805100929]",17,33
1028,"[0.6607828246491385, 0.05844155850048072]",2,3
1381,"[0.655364216660487, 0.02489177494820046]",2,3
195,"[0.2774778842818049, 0.10497835503577924]",22,42
1178,"[0.7594876952381333, 0.743506493393143]",4,6
1233,"[0.3889698487250718, 0.10173160182847395]",15,29
2299,"[0.9687198538551886, 0.8387445884994121]",3,6
1593,"[0.790336815740689, 0.7976190475146853]",3,6
1087,"[0.11968145152945374, 0.11580086582932826]",28,55
1436,"[0.14619979065039954, 0.032467532534444205]",27,54
805,"[0.07754356437536675, 0.05844155850048072]",30,60
66,"[0.4755033763606352, 0.8528138526540636]",15,28
2140,"[0.7470290018662541, 0.10389610386414605]",2,3
283,"[0.49227232609673566, 0.7987012985325214]",14,27
680,"[0.442027051984352, 0.8030303030652569]",15,29
560,"[0.457420824694963, 0.08441558446651723]",12,22
2032,"[0.5179696640116991, 0.07792207789810954]",7,14
1681,"[0.1412122082894198, 0.04653679668909564]",28,55
51,"[0.3803698610431857, 0.876623376584428]",19,36
661,"[0.27154615053759146, 0.8279220777058631]",23,45
2069,"[0.19722501590482047, 0.08333333344868118]",25,49
608,"[0.24217483220580402, 0.09848484846737154]",23,45
694,"[0.5332608115624473, 0.7900432899284415]",11,22
18,"[0.16649904559410006, 0.9101731601367082]",26,51
1608,"[0.6053652429171901, 0.034632034723913435]",4,7
444,"[0.02803719135565917, 0.8885281383958131]",31,60
1579,"[0.6134315798115416, 0.814935064876642]",9,17
1945,"[0.14104800804822332, 0.8755411255665919]",27,53
1918,"[0.1026046263429329, 0.13636363624479314]",28,55
1935,"[0.06180086616497417, 0.8993506491893621]",30,59
237,"[0.09390201350118405, 0.8463203463932502]",29,58
925,"[0.35584244986315405, 0.09523809526006626]",16,31
1116,"[0.15943843516431597, 0.8441558440499838]",28,55
1060,"[0.3614868331889197, 0.08658008665598646]",17,33
1366,"[0.7379364134607787, 0.7445887444109791]",4,7
2252,"[0.3649760883471586, 0.9123376620185832]",22,43
76,"[0.561687978496417, 0.83658008646374]",11,21
1209,"[0.47868475605386984, 0.09523809526006626]",10,20
1172,"[0.6943617741852846, 0.7478354976182844]",6,11
846,"[0.37242667432608545, 0.7608225107550998]",19,37
1218,"[0.4421502021761873, 0.09956709948520759]",12,23
322,"[0.6610496500501978, 0.04004329012068795]",2,2
1941,"[0.10898791076137462, 0.8841991341706718]",28,55
2016,"[0.6857412614714259, 0.08549783563815042]",2,2
672,"[0.3941626813911931, 0.8084415583082343]",18,34
813,"[0.03663717903754528, 0.8733766233771227]",30,58
1893,"[0.361794708653924, 0.1168831168471643]",15,29
2000,"[0.6748219453662326, 0.774891774755954]",6,11
1907,"[0.20104267154545233, 0.1320346320196518]",24,47
954,"[0.07130395518073285, 0.1168831168471643]",29,57
1910,"[0.17197922867866922, 0.13311688303748784]",25,49
232,"[0.052646702663580985, 0.8538961039794939]",30,59
2123,"[0.7688676340766406, 0.8820346318274054]",7,13
1182,"[0.8078446665694655, 0.7413419913574709]",4,6
454,"[0.1529935756645405, 0.8419913418605146]",28,55
1177,"[0.7479321032001267, 0.743506493393143]",3,6
1638,"[0.3945526569695037, 0.04004329012068795]",15,29
1960,"[0.26126311036521155, 0.8506493503107972]",23,44
809,"[0.042466287636479944, 0.06493506506888841]",30,59
1526,"[0.02261858336700765, 0.9188311688945852]",31,61
580,"[0.3831612651726936, 0.08874458869165856]",16,32
509,"[0.8579052154086801, 0.7683982683413435]",2,2
1790,"[0.21711377023823786, 0.08116883110541483]",23,44
1081,"[0.1718766035188065, 0.11038961027875661]",26,51
305,"[0.6915908951023331, 0.7943722941535829]",6,11
635,"[0.04460089078661803, 0.123376623415572]",30,62
969,"[0.12873298988556808, 0.8755411255665919]",28,55
443,"[0.016809999800045536, 0.8939393936387905]",30,60
1556,"[0.361794708653924, 0.8474025974110863]",19,38
936,"[0.25418197491803884, 0.10606060605361528]",22,42
429,"[0.19406416124355844, 0.08766233767382252]",25,48
1490,"[0.3490486648490131, 0.07575757586243743]",17,34
1080,"[0.1806613164738616, 0.11038961027875661]",25,49
640,"[0.061903491310252995, 0.8863636363601409]",30,59
2015,"[0.8600398185588183, 0.7662337659980771]",2,2
193,"[0.2897723774124876, 0.10281385284631]",21,42
570,"[0.41856694239397335, 0.08766233767382252]",14,27
478,"[0.4438948297480148, 0.7878787877389724]",16,31
1316,"[0.23893187743123567, 0.8203463201196194]",24,48
1879,"[0.48642269248041237, 0.11363636363985903]",9,17
1578,"[0.6024917386743758, 0.816017315894478]",9,17
293,"[0.5802836559176513, 0.7943722941535829]",10,19
1908,"[0.19102645675954777, 0.1320346320196518]",24,47
1071,"[0.2606063094004257, 0.10064935050304365]",22,43
2257,"[0.41033640524384135, 0.8971861473074871]",20,39
587,"[0.35688922640625054, 0.08874458869165856]",17,34
673,"[0.40097699143730664, 0.8084415583082343]",18,34
2079,"[0.11104041378362253, 0.08874458869165856]",30,59
684,"[0.4627368075383357, 0.7987012985325214]",14,27
1350,"[0.5761375998092104, 0.761904761926733]",9,17
1389,"[0.5720531187821033, 0.01948051939762882]",6,11
1423,"[0.2686931713267498, 0.00216450234326636]",22,42
1559,"[0.39732353605245513, 0.8409090908426785]",19,37
1288,"[0.11391391802643672, 0.09848484846737154]",28,55
980,"[0.2612220603012665, 0.8463203463932502]",24,46
2241,"[0.2699041481110428, 0.9502164501035991]",25,49
1297,"[0.03949015824838692, 0.09848484846737154]",30,59
1430,"[0.20600972885987562, 0.015151515172487487]",25,49
949,"[0.12583896061078134, 0.11255411262202297]",28,55
1298,"[0.04090638533782147, 0.8701298700160203]",30,59
1133,"[0.3222224502776469, 0.8019480517398266]",20,39
1832,"[0.3975493113895693, 0.814935064876642]",19,37
2113,"[0.6019170378228962, 0.8906926404314852]",12,23
2019,"[0.6550973912740117, 0.08549783563815042]",2,4
996,"[0.4944069292468738, 0.816017315894478]",14,27
1506,"[0.20239732353896925, 0.08658008665598646]",25,49
2261,"[0.4485540116120177, 0.8831168828452415]",19,38
764,"[0.3568687013888619, 0.05952380951831677]",17,33
1499,"[0.2644650150904187, 0.08116883110541483]",22,42
135,"[0.5519796391755168, 0.08116883110541483]",7,14
2224,"[0.15346565137074128, 0.9967532464851004]",29,57
1732,"[0.5253997249586534, 0.761904761926733]",13,25
583,"[0.37220089900355524, 0.08874458869165856]",17,33
2217,"[0.16885942406676835, 0.13311688303748784]",30,59
1957,"[0.23624309846159053, 0.8560606058613689]",24,48
441,"[0.044149340126973705, 0.11363636363985903]",30,60
307,"[0.7110075737295497, 0.7932900431357468]",6,10
2298,"[0.9534492313364129, 0.8376623374815761]",4,6
170,"[0.41060323064490056, 0.0930735929167999]",14,27
242,"[0.14244371010568532, 0.83658008646374]",28,55
2142,"[0.7315120789783918, 0.10497835503577924]",3,4
1003,"[0.5827466595501823, 0.8073593072903983]",10,20
767,"[0.33673364668635786, 0.06060606053615282]",19,34
561,"[0.45331581863588327, 0.08441558446651723]",12,23
2049,"[0.36766486730221987, 0.07792207789810954]",15,30
1005,"[0.6078898216310548, 0.805194805100929]",9,17
1637,"[0.39945813920259327, 0.04004329012068795]",15,29
1788,"[0.2474087149358704, 0.0790043289159456]",22,43
511,"[0.6957164261788015, 0.06385281405105236]",2,2
1865,"[0.6323351326977802, 0.11255411262202297]",2,3
1495,"[0.3072186531453465, 0.07792207789810954]",20,39
1651,"[0.3227150510012363, 0.03787878777742159]",20,39
2071,"[0.18041501611935884, 0.08333333344868118]",25,49
1871,"[0.569466964957737, 0.11147186129659267]",4,8
1462,"[0.5763839001637132, 0.06277056272562205]",5,9
336,"[0.5326450606470227, 0.04761904770693169]",7,13
2014,"[0.8479095256693321, 0.7662337659980771]",2,3
124,"[0.603086964557828, 0.0790043289159456]",4,7
1606,"[0.6223394429438481, 0.034632034723913435]",2,4
2052,"[0.33913507522297126, 0.07792207789810954]",17,34
1600,"[0.6756839966361601, 0.032467532534444205]",2,2
698,"[0.5747829478011096, 0.7835497836676281]",10,20
1324,"[0.3234129020299673, 0.804112554083093]",21,42
621,"[0.14751339257997134, 0.11038961027875661]",28,55
2148,"[0.6883479403131808, 0.10606060605361528]",3,5
1420,"[0.2951294103198054, 0.0]",20,39
1302,"[0.08357792327944298, 0.8560606058613689]",28,58
1336,"[0.43911249769217664, 0.7835497836676281]",16,31
1805,"[0.01666632459082161, 0.10606060605361528]",31,60
1157,"[0.5378584183451165, 0.764069263962405]",12,22
994,"[0.4692432421340288, 0.8192640691017833]",15,30
202,"[0.2320559922892045, 0.1093073594147177]",24,47
1115,"[0.15098212270623768, 0.8474025974110863]",28,54
2220,"[0.14424991277343047, 0.13636363624479314]",30,60
574,"[0.4045072966449067, 0.08874458869165856]",15,29
725,"[0.6672482091954705, 0.041125541138524]",2,3
1717,"[0.3330801913015064, 0.8030303030652569]",21,42
206,"[0.2044703515931897, 0.11147186129659267]",25,49
1061,"[0.3513679932723202, 0.08874458869165856]",17,34
376,"[0.1592331848737583, 0.12445887443340806]",26,52
369,"[0.23468319616293204, 0.10389610386414605]",22,44
985,"[0.3328133659004472, 0.83658008646374]",21,42
693,"[0.5241476981249993, 0.7911255409462776]",12,23
1708,"[0.2221834527271078, 0.8246753246523549]",25,49
526,"[0.6022249132879005, 0.0703463203118658]",4,7
1393,"[0.5312698836215332, 0.01623376619032354]",7,13
332,"[0.5680507378683024, 0.04437229434582928]",6,11
166,"[0.42745428049430734, 0.0909090908811278]",14,26
1844,"[0.563555756245496, 0.8030303030652569]",11,21
1098,"[0.02526631227270772, 0.1255411254512441]",31,60
349,"[0.4231645491620586, 0.06277056272562205]",13,26
1702,"[0.15188522404011026, 0.8387445884994121]",28,55
1241,"[0.364586112768848, 0.10281385284631]",17,34
1173,"[0.7047679645349157, 0.7467532466004483]",6,11
1228,"[0.4046714968861032, 0.10064935050304365]",15,29
2081,"[0.09521561544533975, 0.08982683970949462]",31,61
2051,"[0.3486997393346476, 0.07792207789810954]",17,32
1888,"[0.40834547731751114, 0.1168831168471643]",12,23
896,"[0.5998850598326209, 0.06601731608672447]",4,7
679,"[0.4366905441235907, 0.8030303030652569]",15,29
2040,"[0.4508528150033522, 0.07792207789810954]",11,22
103,"[0.8347119312047768, 0.8181818179301501]",2,3
1731,"[0.5130641817640257, 0.764069263962405]",14,27
1543,"[0.2134603148533864, 0.8722943720516924]",25,49
1027,"[0.6703269637288424, 0.057359307482644666]",2,2
878,"[0.7582767184538404, 0.7575757573939973]",4,6
1272,"[0.2429958334263703, 0.10389610386414605]",23,45
2122,"[0.7401941667881681, 0.8831168828452415]",8,14
639,"[0.051723076297735864, 0.8906926404314852]",30,58
731,"[0.6158124833161824, 0.04653679668909564]",3,6
2029,"[0.5483672338400266, 0.07792207789810954]",6,12
440,"[0.05558178198772891, 0.11038961027875661]",30,60
77,"[0.571232117561537, 0.8344155842742709]",11,20
191,"[0.3017179450288048, 0.10173160182847395]",20,39
207,"[0.19747131627390715, 0.11255411262202297]",26,52
1963,"[0.28761724923037696, 0.8452380950678199]",22,43
1958,"[0.2440426099694668, 0.8549783548435328]",24,46
1454,"[0.646107428013815, 0.057359307482644666]",2,4
2145,"[0.7093655713175849, 0.10497835503577924]",4,7
1946,"[0.14913486997454745, 0.8733766233771227]",27,54
1477,"[0.45352106894102484, 0.07251082250133503]",11,21
1044,"[0.5063319718458024, 0.06818181796859943]",9,17
901,"[0.5594097001224712, 0.0703463203118658]",6,11
1642,"[0.37415077688052434, 0.03896103879525764]",17,32
862,"[0.5405471973001778, 0.7467532466004483]",12,22
330,"[0.5862359146938374, 0.04220779231015718]",4,7
704,"[0.6497198333347214, 0.773809523738118]",7,14
1663,"[0.2581227807359221, 0.03679653675958554]",23,45
1091,"[0.08517887564204656, 0.11904761919043066]",29,57
496,"[0.6865006875814906, 0.7683982683413435]",6,11
88,"[0.6750066706394017, 0.8235930734807217]",6,11
426,"[0.23082449047293901, 0.08441558446651723]",23,45
920,"[0.4046509718541306, 0.08982683970949462]",14,27
1158,"[0.547279407232985, 0.7629870129445689]",11,21
1482,"[0.4139077605153866, 0.07359307351917108]",13,26
201,"[0.23882925227137294, 0.1093073594147177]",24,46
2006,"[0.7523449847096269, 0.7673160173235074]",4,7
586,"[0.3608710822880789, 0.08874458869165856]",18,32
390,"[0.6607828246491385, 0.050865800914236974]",2,2
2135,"[0.9480100983157889, 0.8820346318274054]",3,5
1119,"[0.18509472301533428, 0.83658008646374]",26,52
465,"[0.2803719135565917, 0.8127705625333757]",23,45
1153,"[0.5007286385693979, 0.7705627705308127]",14,26
407,"[0.44935448780061144, 0.06385281405105236]",11,21
850,"[0.4121015578476414, 0.754329004186692]",17,34
304,"[0.6820878060719905, 0.7932900431357468]",6,11
1517,"[0.09234211120252557, 0.09632034643169944]",29,57
404,"[0.4837133884787947, 0.061688311707786]",9,17
227,"[0.04681759406464632, 0.13961038960589553]",31,61
2107,"[0.5136799326794503, 0.8961038959820569]",16,31
1267,"[0.2698630980470977, 0.10389610386414605]",22,43
1197,"[0.5570287966178303, 0.08766233767382252]",6,10
858,"[0.4955973809991942, 0.7467532466004483]",14,27
761,"[0.37786580734670955, 0.06060606053615282]",15,29
1033,"[0.6137805053259071, 0.06060606053615282]",3,6
624,"[0.12692678721782294, 0.11255411262202297]",28,55
371,"[0.21343978982141384, 0.1093073594147177]",25,49
182,"[0.35225056957422024, 0.09632034643169944]",18,34
298,"[0.6259928983432835, 0.7932900431357468]",8,14
415,"[0.3578128527720957, 0.07142857132970185]",16,31
281,"[0.4751544508462697, 0.7997835497041546]",15,29
859,"[0.5066193222642502, 0.7467532466004483]",13,26
919,"[0.41372303524221754, 0.08874458869165856]",14,26
1273,"[0.23694094949032152, 0.10389610386414605]",23,45
271,"[0.3906939512795107, 0.8084415583082343]",19,37
1735,"[0.5627347550395136, 0.754329004186692]",11,21
1858,"[0.8315716015609034, 0.7889610389106055]",2,3
326,"[0.6232835943416658, 0.041125541138524]",2,4
1168,"[0.6510950103602109, 0.7510822511331839]",7,14
1359,"[0.6633689784735048, 0.7510822511331839]",7,13
703,"[0.6365838139660838, 0.774891774755954]",9,17
1536,"[0.1293487407864089, 0.8885281383958131]",28,55
1308,"[0.14739024240271995, 0.8376623374815761]",26,51
956,"[0.0490753473920358, 0.11904761919043066]",30,60
1801,"[0.06820467560080454, 0.09523809526006626]",30,59
758,"[0.3992323638654791, 0.06060606053615282]",14,27
762,"[0.3708257219634819, 0.06060606053615282]",15,30
903,"[0.5439133022665813, 0.07251082250133503]",7,13
726,"[0.6585661213856941, 0.04220779231015718]",2,3
1163,"[0.5950206276488925, 0.7575757573939973]",9,17
1545,"[0.2342726955526489, 0.8690476189981843]",24,46
522,"[0.6275733256739146, 0.06926406929402974]",3,6
342,"[0.481373535023515, 0.053030303103706204]",9,17
269,"[0.3740481517206616, 0.8106060606515006]",19,37
1862,"[0.6651751811266661, 0.11363636363985903]",2,2
55,"[0.4042404712584314, 0.8690476189981843]",18,34
1408,"[0.40313211961941725, 0.0075757575862437435]",14,27
1797,"[0.12083085323241298, 0.08874458869165856]",27,54
1530,"[0.06555694669510446, 0.9047619045861366]",30,59
1589,"[0.7296443012293129, 0.8030303030652569]",4,8
2129,"[0.856612138496497, 0.8809523808095693]",4,7
2037,"[0.47554442642458034, 0.07575757586243743]",9,17
141,"[0.5277806284778782, 0.08333333344868118]",8,16
2240,"[0.2631308881142905, 0.9523809521392712]",26,52
162,"[0.4450647564683627, 0.08982683970949462]",12,23
433,"[0.14057593235660643, 0.09415584424223021]",27,53
2106,"[0.49902506106151545, 0.8971861473074871]",17,33
686,"[0.4737176987394466, 0.7976190475146853]",14,27
944,"[0.1773362615714031, 0.11147186129659267]",25,49
1222,"[0.4284600069734587, 0.09956709948520759]",14,26
1521,"[0.05593070750209441, 0.10064935050304365]",30,59
1460,"[0.5988998583708581, 0.061688311707786]",4,6
1398,"[0.48685371810808414, 0.012987013136815386]",9,17
847,"[0.38223763880684847, 0.7597402597372637]",19,37
1234,"[0.3859731943050062, 0.10173160182847395]",16,31
485,"[0.5275548531407641, 0.7792207791348925]",12,23
1211,"[0.46965374274431193, 0.09632034643169944]",11,21
448,"[0.07945239218839072, 0.866883116808715]",29,60
1136,"[0.3484329139335884, 0.7954545454790132]",20,39
1248,"[0.34202910449775803, 0.10281385284631]",19,36
1287,"[0.12226760535382007, 0.09956709948520759]",28,56
2068,"[0.20498347734875166, 0.08225108212325087]",25,49
25,"[0.2098889595818412, 0.9047619045861366]",25,49
1715,"[0.30980480696971285, 0.8073593072903983]",22,43
1981,"[0.45752344985482574, 0.8138528138588059]",15,29
2067,"[0.21282403892057303, 0.08225108212325087]",24,46
633,"[0.06097986494440788, 0.12229437224393883]",30,59
1370,"[0.7774470967411381, 0.742424242375307]",4,6
937,"[0.24484308614347663, 0.1071428573790456]",22,44
1105,"[0.06592639724144252, 0.876623376584428]",30,59
1465,"[0.5538063668606507, 0.06493506506888841]",6,11
853,"[0.4426633279317493, 0.7499999998077536]",16,30
1815,"[0.17002935080170015, 0.8376623374815761]",27,54
577,"[0.3939163810221064, 0.08874458869165856]",15,29
2163,"[0.5766917756141335, 0.11363636363985903]",9,17
2231,"[0.1991954188137621, 0.978354978412902]",28,55
469,"[0.33825249892107123, 0.8030303030652569]",20,42
803,"[0.0938404384198503, 0.05519480513937831]",29,58
1691,"[0.059112087195329004, 0.06277056272562205]",30,62
178,"[0.37285769996834117, 0.09523809526006626]",17,33
401,"[0.5232240717591541, 0.057359307482644666]",7,14
2025,"[0.5900946203838304, 0.0790043289159456]",4,7
1484,"[0.39783666180801713, 0.07359307351917108]",14,27
4,"[0.05387820447984651, 0.9404761903278861]",30,59
1240,"[0.367705917366165, 0.10281385284631]",17,33
1349,"[0.5668602861159819, 0.764069263962405]",11,21
590,"[0.3443484329210651, 0.08982683970949462]",19,34
1551,"[0.3070955029680951, 0.8571428571867992]",22,43
1266,"[0.2746659551349084, 0.10389610386414605]",22,43
1453,"[0.654112189812249, 0.057359307482644666]",2,3
821,"[0.12130292892402986, 0.8387445884994121]",28,55
2054,"[0.3198620718049786, 0.07792207789810954]",19,37
1054,"[0.4202089448059381, 0.0790043289159456]",13,26
928,"[0.32796945876327527, 0.09848484846737154]",17,34
1207,"[0.4884751955026603, 0.09523809526006626]",9,17
2059,"[0.27776523470025277, 0.0790043289159456]",20,39
1269,"[0.25968268303458053, 0.10389610386414605]",22,44
746,"[0.4937090782181428, 0.05627705615721436]",9,17
2196,"[0.33790357340670574, 0.1266233767766744]",21,42
611,"[0.2188173477607042, 0.10064935050304365]",24,47
276,"[0.4326881632097898, 0.804112554083093]",17,34
2144,"[0.7165903819739816, 0.10497835503577924]",4,6
1210,"[0.4740871492712007, 0.09523809526006626]",11,20
1365,"[0.7281870240759333, 0.7445887444109791]",4,7
894,"[0.6167976847779453, 0.06493506506888841]",3,6
9,"[0.10420557870553646, 0.9253246751553986]",28,55
1013,"[0.7200180620217189, 0.7954545454790132]",6,11
1778,"[0.38424909176515126, 0.07251082250133503]",14,27
49,"[0.3683421932989783, 0.8787878786201001]",20,38
1724,"[0.4210299460265044, 0.7846320346854642]",18,34
1776,"[0.4117321073013034, 0.0703463203118658]",13,26
2098,"[0.38375649104156184, 0.9090909091188722]",22,42
1403,"[0.4442232302304078, 0.009740259775712974]",12,22
1674,"[0.19000020524842381, 0.04004329012068795]",26,51
187,"[0.324870179183347, 0.09956709948520759]",20,39
1331,"[0.39194597812774873, 0.7911255409462776]",20,38
2042,"[0.4347406662466216, 0.07683982688027349]",12,22
765,"[0.34995176618288565, 0.05952380951831677]",17,34
2075,"[0.14476303852899242, 0.08549783563815042]",27,54
1074,"[0.233800619861032, 0.10389610386414605]",23,45
2136,"[0.9649227232611132, 0.8831168828452415]",3,2
302,"[0.6632458282816696, 0.7932900431357468]",7,14
1250,"[0.33529689456495076, 0.10281385284631]",19,37
881,"[0.7951601978604723, 0.7629870129445689]",3,4
1886,"[0.4259559532915665, 0.1168831168471643]",12,22
120,"[0.62615709858448, 0.0790043289159456]",4,7
2272,"[0.56546458405852, 0.8538961039794939]",14,27
354,"[0.3798156852236786, 0.0703463203118658]",15,29
